Frame,X,Y,Radius,Theta,Score
30,726,236,212.89474333277016,-0.897129730226786,7
60,727,237,212.8777216259627,-0.8902667665710476,7
90,727,237,213.23850382451565,-0.8915764538825419,7
120,726,237,213.71470027618892,-0.8886994773015212,7
150,725,237,212.9604212965812,-0.8922816225775905,7
150,528,334,93.50883818443319,-2.314948753583437,9
180,725,237,213.02520530773353,-0.8925860179091412,7
180,532,335,90.16732187059839,-2.2892182438244295,9
210,725,237,213.11722205835247,-0.892767274632192,7
210,532,335,90.22134995808774,-2.288288004486271,9
240,725,237,213.32150005480833,-0.893158238953193,7
240,532,335,90.33928497099747,-2.28622258199187,9
270,530,335,90.60588210339607,-2.288928019456533,9
270,723,237,213.12752723175393,-0.8945912276670926,7
300,530,335,90.15798115692631,-2.2873554154673483,9
300,723,237,213.18897103733283,-0.892405631196054,7
300,760,476,185.7379068089369,0.4040063577536169,7
330,723,237,212.82250612965228,-0.8925449114786194,7
330,760,476,185.61039797252934,0.4058636180478461,7
330,529,336,90.0433129369491,-2.307090146968011,9
360,530,336,89.71445130350794,-2.296521364594968,9
360,725,240,212.02180146420557,-0.8777424915058641,7
360,761,476,186.30955530955094,0.40197970039930475,7
390,530,336,90.04097614189513,-2.295333469469872,9
390,725,240,212.1771854470545,-0.8791870361364568,7
390,761,476,186.06062773772328,0.4007080959599311,7
420,530,336,90.3271994658407,-2.293803934739773,9
420,725,240,212.35792794247513,-0.8804180800208333,7
420,622,216,190.47661113407867,-1.400741054719336,7
420,760,475,184.55277025620668,0.396488753374445,7
450,725,240,212.45555373631825,-0.8799013861727866,7
450,760,475,184.68612010754427,0.39615514014089787,7
450,530,336,90.23415318656366,-2.292544996768523,9
450,616,218,187.59878161961348,-1.4296963040124002,7
480,733,237,214.7778034216495,-0.8682950817222244,7
480,768,472,187.74760544659287,0.3882500064143039,7
480,538,333,88.17648559102031,-2.262242353541826,9
480,628,218,186.01632755629564,-1.3882183597694173,7
510,540,332,88.91472935298718,-2.3117054174750553,9
510,630,217,183.07859638769892,-1.4062663188045592,7
510,770,471,185.1538818261447,0.40758521603052,7
510,731,235,208.80173092230183,-0.8926849358159614,7
540,529,336,89.69151895107478,-2.3048512001605452,9
540,619,221,184.04061250374852,-1.4075156290881954,7
540,759,475,184.7013112300258,0.4028301435112728,7
540,720,239,209.52763158688919,-0.8958961127519907,7
570,529,336,89.58950410107073,-2.3056898754293425,9
570,619,221,183.91823787250289,-1.40733672287149,7
570,759,475,184.76234506723424,0.4034313271163577,7
570,720,239,209.4370523939972,-0.8954730468401505,7
600,529,336,89.44183642830959,-2.3061620341840667,9
600,619,221,183.79323404977964,-1.4068512694936188,7
600,720,239,209.3717988949709,-0.8948090344723573,7
600,758,476,184.35699545077546,0.41109334401283315,7
630,529,335,90.29525259811024,-2.3023165647503756,9
630,619,220,184.59616693958677,-1.4092976300621505,7
630,720,238,209.85148609427404,-0.898558377727748,7
630,757,475,182.80634665167273,0.4096277978449017,7
660,530,335,89.45839746020884,-2.2984605835916256,9
660,620,220,184.3417400964136,-1.4045851335457098,7
660,721,238,210.0542426532191,-0.8943536643800719,7
660,758,475,183.71143885663108,0.4098197974743585,7
690,529,335,89.92940813249763,-2.301939045081646,9
690,619,220,184.39345573623373,-1.4076366423350248,7
690,720,238,209.82445633286326,-0.8968121389195642,7
690,757,475,183.1531284652069,0.4102913470667973,7
720,529,335,90.21018078991706,-2.301285167898565,9
720,619,220,184.6153106771246,-1.4086224468915043,7
720,720,238,209.92910487616183,-0.8980848629779957,7
720,757,475,182.92249364427587,0.4093592178433519,7
